store_address,city,state,latitude,longitude
"8402 Old Keene Mill Rd, West Springfield, VA 22152, USA",West Springfield,Virginia,38.779635,-77.234325
"3100 Cahaba Village Plaza, Birmingham, AL 35243, USA",Birmingham,Alabama,33.46006,-86.75264
"4315 Arden Way, Sacramento, CA 95864, USA",Sacramento,California,38.596472,-121.364055
"1181 Yulupa Ave, Santa Rosa, CA 95405, USA",Santa Rosa,California,38.442386,-122.674661
"19340 Rinaldi St, Northridge, CA 91326, USA",Los Angeles,California,34.273457,-118.554959
"11666 National Blvd, Los Angeles, CA 90064, USA",Los Angeles,California,34.022847,-118.438364
"2905 Pearl St, Boulder, CO 80301, USA",Boulder,Colorado,40.024058,-105.256089
"399 Post Rd W, Westport, CT 06880, USA",Westport,Connecticut,41.12805,-73.380187
"27001 US Hwy 19 N, Clearwater, FL 33761, USA",Clearwater,Florida,28.017329,-82.733613
"4211 Waialae Ave, Honolulu, HI 96816, USA",Honolulu,Hawaii,21.277295,-157.786529
"255 E Grand Ave, Chicago, IL 60611, USA",Chicago,Illinois,41.891383,-87.6212
"35 Pleasant St, South Weymouth, MA 02190, USA",Weymouth,Massachusetts,42.171622,-70.953042
"1380 E 70th St, Shreveport, LA 71105, USA",Shreveport,Louisiana,32.444316,-93.726872
"3804 Oleander Dr, Wilmington, NC 28403, USA",Wilmington,North Carolina,34.213687,-77.9008
"160 Littleton Rd, Westford, MA 01886, USA",Westford,Massachusetts,42.568264,-71.419986
"4500 North Ln #99, Jackson, MS 39209, USA",Jackson,Mississippi,32.330471,-90.264781
"220-228 Main St, Madison, NJ 07940, USA",Madison,New Jersey,40.753582,-74.405479
"110 Bloomingdale Rd, White Plains, NY 10605, USA",White Plains,New York,41.028521,-73.758753
"4301 NE Sandy Blvd, Portland, OR 97213, USA",Portland,Oregon,45.536858,-122.618724
"10133 Louetta Rd, Houston, TX 77070, USA",Houston,Texas,29.998516,-95.562061
"261 Waterman St, Providence, RI 02906, USA",Providence,Rhode Island,41.827761,-71.386301
"801 E Lamar Blvd, Arlington, TX 76011, USA",Arlington,Texas,32.766905,-97.099057
"2210 Westlake Ave, Seattle, WA 98121, USA",Seattle,Washington,47.618343,-122.338086
"1450 Taylor Rd, Montgomery, AL 36117, USA",Montgomery,Alabama,32.35863,-86.17294
"2085 Diamond Blvd, Concord, CA 94520, USA",Concord,California,37.974068,-122.058173
"3301 Imperial Hwy, Brea, CA 92823, USA",Brea,California,33.909659,-117.852098
"777 The Alameda, San Jose, CA 95126, USA",San Jose,California,37.332174,-121.904814
"1250 Jefferson Ave, Redwood City, CA 94062, USA",Redwood City,California,37.482299,-122.231675
"444 S Wadsworth Blvd, Lakewood, CO 80226, USA",Lakewood,Colorado,39.708709,-105.080596
"1440 P St NW, Washington, DC 20005, USA",Washington,District of Columbia,38.909355,-77.033433
"3802 Northdale Blvd, Tampa, FL 33624, USA",Tampa,Florida,28.092987,-82.504132
"629 Kailua Rd #100, Kailua, HI 96734, USA",Kailua,Hawaii,21.393852,-157.742967
"89 Danada Square W, Wheaton, IL 60189, USA",Wheaton,Illinois,41.83037,-88.101502
"45 Beacon St, Somerville, MA 02143, USA",Somerville,Massachusetts,42.376014,-71.102909
"300 N Broad St, New Orleans, LA 70119, USA",New Orleans,Louisiana,29.967077,-90.084481
"9129 Sam Furr Rd, Huntersville, NC 28078, USA",Huntersville,North Carolina,35.444095,-80.871871
"327 Russell St, Hadley, MA 01035, USA",Hadley,Massachusetts,42.353146,-72.55462
"4577 W Pine Blvd, St. Louis, MO 63108, USA",St. Louis,Missouri,38.641985,-90.261125
"1558 Kings Hwy N, Cherry Hill, NJ 08034, USA",Cherry Hill,New Jersey,39.915882,-75.011425
"250 7th Ave, New York, NY 10001, USA",New York,New York,40.745078,-73.995357
"353 E Broadway, Eugene, OR 97401, USA",Eugene,Oregon,44.050368,-123.087755
"4100 Lomo Alto Dr, Dallas, TX 75219, USA",Dallas,Texas,32.82046,-96.814403
"601 N Main St, Providence, RI 02904, USA",Providence,Rhode Island,41.837282,-71.408283
"701 Waugh Dr, Houston, TX 77019, USA",Houston,Texas,29.757859,-95.397599
"3515 Bridgeport Way W, University Place, WA 98466, USA",University Place,Washington,47.22724,-122.535977
"7133 N Oracle Rd, Tucson, AZ 85704, USA",Tucson,Arizona,32.336488,-110.978325
"2121 Cloverfield Blvd, Santa Monica, CA 90404, USA",Santa Monica,California,34.0221,-118.465442
"2600 Via De La Valle #100, Del Mar, CA 92014, USA",Del Mar,California,32.981301,-117.251973
"7881 Edinger Ave #150, Huntington Beach, CA 92647, USA",Huntington Beach,California,33.731337,-117.991241
"690 Stanyan St, San Francisco, CA 94117, USA",San Francisco,California,37.769561,-122.452798
"D, 7400 E Hampden Ave, Denver, CO 80231, USA",Denver,Colorado,39.651656,-104.901413
"2201 I St NW, Washington, DC 20037, USA",Washington,District of Columbia,38.901078,-77.049082
"2635 SR 7, Wellington, FL 33414, USA",Wellington,Florida,26.641416,-80.206204
"70 E Kaahumanu Ave B, Kahului, HI 96732, USA",Kahului,Hawaii,20.891466,-156.464444
"6020 N Cicero Ave, Chicago, IL 60646, USA",Chicago,Illinois,41.990353,-87.748951
"990 Iyannough Rd, Hyannis, MA 02601, USA",Barnstable,Massachusetts,41.672421,-70.301803
"4247 Ambassador Caffery Pkwy, Lafayette, LA 70508, USA",Lafayette,Louisiana,30.161016,-92.051689
"4 S Tunnel Rd, Asheville, NC 28805, USA",Asheville,North Carolina,35.582852,-82.525048
